name,income_group,pop_n,Urban,Basic,Limited,Unimproved,Surface,Basic,Limited,Unimproved,Surface,Basic,Limited,Unimproved,Surace,value_cnt,pop_u_val,Rural,pop_n (m),pop_n (m) rounded,wat_bas_n (rounded),pop_u (rounded),pop_r (rounded)
Tokelau,NAN,1.350000024,0,99.70767665,0,0.2923233459,0,99.70767665,0,0.2923233459,0,NAN,NAN,NAN,NAN,16,0,100,1350.000024,1,100,0,100
Wallis and Futuna Islands,NAN,11.24600029,0,99.14328736,0,0.856712639,0,99.14328736,0,0.856712639,0,NAN,NAN,NAN,NAN,16,0,100,11246.00029,1,99,0,100
Montserrat,NAN,4.999000072,9.114999771,98.07748262,0,1.922517378,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,0.4556588451,90.88500023,4999.000072,1,98,9,91
Papua New Guinea,Lower middle income,8947.027344,13.34500027,45.34401752,2.128564452,22.15762495,30.36979308,39.07134367,2.429850293,24.43180086,34.06700517,86.07527164,0.1721822608,7.390385564,6.362160532,16,1193.980823,86.65499973,8947027.344,9,45,13,87
Liechtenstein,High income,38.13700104,14.41600037,100,0,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,5.497830211,85.58399963,38137.00104,1,100,14,86
Burundi,Low income,11890.78125,13.70800018,62.20712225,19.43969314,14.75825969,3.594924913,57.68576527,21.25148213,16.89675238,4.166000219,90.66911086,8.034462869,1.296426269,0,16,1629.988315,86.29199982,11890781.25,12,62,14,86
Rwanda,Low income,12952.20898,17.43200111,60.41450115,22.3207193,13.15480415,4.109975401,55.64246823,25.08014133,14.77886772,4.498522714,83.0175993,9.250506251,5.462303057,2.269591394,16,2257.829213,82.56799889,12952208.98,13,60,17,83
Malawi,Low income,19129.95508,17.42700005,70.04772851,21.95081497,5.776304407,2.22515211,66.58504376,24.41415803,6.383874146,2.616924066,86.45469821,10.27894825,2.897503996,0.3688495446,16,3333.777281,82.57299995,19129955.08,20,70,17,83
Niger,Low income,24206.63672,16.62599945,46.91179747,21.6538987,27.02751244,4.406791392,39.15415932,23.98774039,31.99150648,4.866593813,85.81383976,9.950440829,2.13468778,2.101031634,16,4024.595288,83.37400055,24206636.72,25,47,17,83
Samoa,Lower middle income,198.4100037,17.88899994,91.83772455,6.520899952,1.418623428,0.2227520679,91.78032287,6.220703339,1.72769216,0.2712816327,92.10119,7.89881,0,0,16,35.49356544,82.11100006,198410.0037,1,92,18,82
Saint Lucia,Upper middle income,183.6289978,18.8409996,96.88784457,1.815652166,1.296503269,0,96.81402383,1.734152255,1.451823918,0,97.20582219,2.166718886,0.6274589237,0,16,34.59753874,81.1590004,183628.9978,1,97,19,81
Sri Lanka,Lower middle income,21413.25,18.71299934,92.22757937,0.5954581495,5.348927064,1.82803542,90.5374357,0.7032099038,6.510488612,2.248865782,99.56938019,0.1273977901,0.3032220202,0,16,4007.061331,81.28700066,21413250,22,92,19,81
South Sudan,Low income,11193.72852,20.1989994,40.95092717,37.42696287,13.53755519,8.084554762,33.59362881,42.16438068,14.11109616,10.13089435,70.01770445,18.71066092,11.27163464,0,16,2261.021157,79.8010006,11193728.52,12,41,20,80
Nepal,Lower middle income,29136.80859,20.57600021,90.07454179,3.979825725,4.699081176,1.246551314,90.20327165,4.207348246,4.269023951,1.320356149,89.57763316,3.101581411,6.359123168,0.9616622585,16,5995.189797,79.42399979,29136808.59,30,90,21,79
Ethiopia,Low income,114963.5859,21.69499969,49.61557274,26.74071964,18.63506013,5.008647486,40.03013919,30.18668334,23.49561327,6.287564203,84.21282816,14.30300858,1.091582355,0.392580896,16,24941.3496,78.30500031,114963585.9,115,50,22,78
Tonga,Upper middle income,105.6969986,23.09899902,98.73108083,0.8814972962,0.3874218777,0,98.46807854,1.103159706,0.4287617551,0,99.60665819,0.143540536,0.2498012758,0,16,24.41494867,76.90100098,105696.9986,1,99,23,77
Eswatini,Lower middle income,1160.16394,24.17100143,70.75307095,9.507067163,9.835567931,9.904293959,62.46644874,12.29969513,12.45046093,12.78339519,96.74976305,0.7460644731,1.632164244,0.8720082294,16,280.4232425,75.82899857,1160163.94,2,71,24,76
Chad,Low income,16425.85938,23.52000046,46.18753479,14.74028929,31.56245714,7.509718784,37.57521525,14.35396111,38.52496761,9.545856027,74.19222309,15.99651381,8.922452721,0.8888103843,16,3863.362202,76.47999954,16425859.38,17,46,24,76
Cambodia,Lower middle income,16718.9707,24.23200035,71.21988497,13.90222204,5.677218558,9.200674434,65.06715583,15.51772278,7.492899307,11.92222209,90.45807717,8.85091472,0,0.6910081144,16,4051.341039,75.76799965,16718970.7,17,71,24,76
Solomon Islands,Lower middle income,686.8779907,24.67000008,67.30102554,5.79547831,21.26784313,5.635653025,59.40526749,6.528523649,26.955911,7.110297857,91.41077689,3.557120425,3.899286137,1.132816553,16,169.4528009,75.32999992,686877.9907,1,67,25,75
Uganda,Low income,45741,24.95400047,55.85504921,27.28286,12.16590654,4.696184252,48.23118958,31.78469426,14.07616061,5.907955546,78.7828518,13.74416783,6.421044133,1.051936238,16,11414.20935,75.04599953,45741000,46,56,25,75
Vanuatu,Lower middle income,307.1499939,25.52500153,91.23119075,1.06238505,0,7.706424202,88.39720123,1.255132675,0,10.3476661,99.5,0.5,0,0,16,78.40004064,74.47499847,307149.9939,1,91,26,74
Afghanistan,Low income,38928.33984,26.02599907,75.09141325,1.447541688,14.56026288,8.900782174,66.32791521,1.956824851,19.68294895,12.03231098,100,0,0,0,16,10131.48936,73.97400093,38928339.84,39,75,26,74
Guyana,Upper middle income,786.559021,26.7859993,95.55480685,1.205244408,1.143069849,2.096878897,93.9284905,1.646193862,1.561274833,2.864040809,100,0,0,0,16,210.6876939,73.2140007,786559.021,1,96,27,73
Tajikistan,Lower middle income,9537.641602,27.50599861,81.85241502,2.568363935,3.421857005,12.15736404,76.6435992,3.207143928,4.140706948,16.00854992,95.58062386,0.8848144763,1.527268323,2.007293339,16,2623.423566,72.49400139,9537641.602,10,82,28,72
Kenya,Lower middle income,53771.30078,27.99499893,61.63289158,9.54187005,9.780087524,19.04515084,51.77997893,11.56900419,12.51911322,24.13190366,86.97523145,4.327944725,2.73514263,5.961681193,16,15053.27508,72.00500107,53771300.78,54,62,28,72
Lesotho,Lower middle income,2142.251953,29.02799988,72.17603927,10.40592597,12.21725464,5.200780116,63.65035482,13.55843013,15.73132479,7.059890254,93.02090855,2.698211997,3.625530038,0.65534942,16,621.8528943,70.97200012,2142251.953,3,72,29,71
Barbados,High income,287.3710022,31.19099998,98.51445042,0.2676005761,1.217949005,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16,89.63388924,68.80900002,287371.0022,1,99,31,69
Timor-Leste,Lower middle income,1318.442017,31.31999969,85.4956012,1.88586597,8.360029397,4.258503433,80.48779562,2.049364675,11.26233968,6.200500018,96.47695792,1.527338152,1.995703929,0,16,412.9360356,68.68000031,1318442.017,2,85,31,69
